title,number,photo,Салоны,Бренд,Коллекция,color code,🔒 Row ID,Narrative,example 1,example 2,example 3,Global counter
CHERISH ,58,https://i.ibb.co/sJx34G2/LUXIO-58-CHERISH-26.png,Nail O`Clock,LUXIO,COLOURS,ba5e64,D3udL9dFTtuhZEPqJPWSVA,,,,,
STERLING ,59,https://i.ibb.co/64h8Fx9/LUXIO-59-STERLING-27.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,28252c,UDyPqc3pQGOcqnRLQYwfsQ,,,,,
CHARMED ,60,https://i.ibb.co/QFBMX77/LUXIO-60-CHARMED-28.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,301316,L.UELxEyQDW-6wGI74W0EA,,,,,
RUBY ,61,https://i.ibb.co/gP0xJX3/LUXIO-61-RUBY-29.png,Nail O`Clock,LUXIO,COLOURS,660104,JBeqg5MZTU6mhvPtdu7W9A,,,,,
INSPIRE ,62,https://i.ibb.co/TkLrNN1/LUXIO-62-INSPIRE-30.png,Nail O`Clock,LUXIO,COLOURS,ca6255,9JI1a59-RVyS0jsi7vM.4A,,,,,
ANTICIPATION ,63,https://i.ibb.co/6Fqsx7H/LUXIO-63-ANTICIPATION-31.png,Nail O`Clock,LUXIO,COLOURS,310c0c,2dY93oPuT1yXN4LVdLbl7g,,,,,
MYSTICAL ,64,https://i.ibb.co/27D1RJ5/LUXIO-64-MYSTICAL-32.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,1b0604,YRc2X8uQRiCxmJo44JsAsg,,,,,
GALAXY ,65,https://i.ibb.co/XCyGMDN/LUXIO-65-GALAXY-33.png,Nail O`Clock,LUXIO,COLOURS,040c11,HxDGFpWJQa6E4N7V3cBN5Q,,,,,
ELECTRIC ,66,https://i.ibb.co/HhRjCvw/LUXIO-66-ELECTRIC-34.png,Nail O`Clock,LUXIO,COLOURS,01186f,fnOvpHqMSTGZrygwEDTjxA,,,,,
DIVA ,67,https://i.ibb.co/jM6ssS9/LUXIO-67-DIVA-35.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,460203,a.biqmKiEQ5uMZbjUhBt8tw,,,,,
